■ 역대 박스오피스 (통합전산망 집계 기준),,,,,,,,,
- 조회일: 2026-06-02,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,
▶ 검색조건 [    영화구분: 전체   국적: 전체   지역: 전체 ],,,,,,,,,
순위,영화명,개봉일,매출액,관객수,스크린수,상영횟수,대표국적,국적,배급사
122,밀수,2023-07-26,"49,688,708,003","5,143,729","1,932","167,760",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
123,미션 임파서블 3,2006-05-03,"32,141,243,900","5,124,671",437,"72,534",미국,미국,UIP코리아
124,투사부일체,2006-01-19,"31,949,667,000","5,073,037",407,"54,332",한국,한국,씨제이엔터테인먼트
125,쿵푸팬더 2,2011-05-26,"44,310,427,500","5,064,796",948,"101,447",미국,미국,(주)씨제이이엔엠
126,독전,2018-05-22,"43,491,762,113","5,064,323","1,532","140,052",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
127,추격자,2008-02-14,"33,986,959,000","5,046,096",433,"106,805",한국,한국,(주)쇼박스
128,아쿠아맨,2018-12-19,"44,145,008,504","5,041,187","1,285","105,440",미국,"미국,호주",워너브러더스 코리아(주)
129,공작,2018-08-08,"42,796,890,816","4,975,637","1,317","99,123",한국,한국,(주)씨제이이엔엠
130,인사이드 아웃,2015-07-09,"38,055,237,936","4,972,640",931,"84,307",미국,미국,월트디즈니컴퍼니코리아(주)
131,킹스맨: 골든 서클,2017-09-27,"40,987,484,736","4,945,484","1,687","95,922",미국,"미국,영국",이십세기폭스코리아(주)
132,더 퍼스트 슬램덩크,2023-01-04,"51,557,295,105","4,921,209","1,060","239,800",일본,일본,(주)넥스트엔터테인먼트월드(NEW)
133,하얼빈,2024-12-24,"46,978,947,380","4,914,963","2,125","198,258",한국,한국,(주)씨제이이엔엠
134,바람과 함께 사라지다,2012-08-08,"34,614,720,161","4,909,950",694,"78,594",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
135,마션,2015-10-08,"39,702,034,175","4,887,144","1,132","115,967",미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)"
136,토르: 라그나로크,2017-10-25,"39,261,266,595","4,858,572","1,640","137,496",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
137,어메이징 스파이더맨,2012-06-28,"41,165,656,235","4,853,273","1,118","92,766",미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
138,"님아, 그 강을 건너지 마오",2014-11-27,"37,370,473,379","4,804,099",806,"93,729",한국,한국,"CGV아트하우스,(주)대명문화공장"
139,봉오동 전투,2019-08-07,"40,594,714,038","4,788,285","1,476","107,059",한국,한국,(주)쇼박스
140,조선명탐정 : 각시투구꽃의 비밀,2011-01-27,"35,842,409,500","4,786,369",632,"84,145",한국,한국,(주)쇼박스
141,군도: 민란의 시대,2014-07-23,"36,993,362,499","4,776,071","1,394","67,270",한국,한국,(주)쇼박스
142,남산의 부장들,2020-01-22,"41,229,996,550","4,750,917","1,659","140,220",한국,한국,(주)쇼박스
143,라이온 킹,2019-07-17,"41,519,732,430","4,743,295","1,936","126,503",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
